repository_language,repos_by_lang
JavaScript,15820
Python,11185
CSS,10324
Java,9058
Ruby,6579
PHP,5972
C,5431
C++,4846
Go,4016
Shell,3005
C#,1843
Objective-C,1420
R,1134
Rust,1113
TeX,1019
CoffeeScript,833
Scala,800
Lua,703
VimL,679
Erlang,589
Perl,505
Clojure,487
Emacs Lisp,408
Haskell,407
TypeScript,338
AutoHotkey,275
Puppet,246
OCaml,213
Arduino,203
Dart,163
Groovy,151
Scheme,129
COBOL,128
Matlab,124
Processing,120
Julia,119
Visual Basic,119
ActionScript,119
Common Lisp,87
Idris,86
DM,80
Gosu,71
D,64
XSLT,57
Assembly,53
PowerShell,47
Pascal,41
Standard ML,36
Logos,35
Haxe,34
DOT,32
Pure Data,27
IDL,21
Elixir,19
AppleScript,15
LiveScript,15
Racket,12
F#,11
Vala,9
Component Pascal,9
BlitzBasic,9
ASP,8
Awk,8
Makefile,6
Verilog,6
Io,6
FORTRAN,5
Prolog,2
Scilab,2
VHDL,2
Clean,1
SourcePawn,1
Objective-C++,1
Nimrod,1
OpenSCAD,1
OpenEdge ABL,1
